Year,Nitrous oxide emissions,Annual methane emissions,Annual CO2 emissions
1900,1288602,25734202,-2112906.8
1901,1283737.8,25652976,-2051840.1
1902,1267520.2,25577564,-1856426.8
1903,1242784.2,25492832,-1856426.8
1904,1212365.1,25410988,-1514453.4
1905,1179097.6,25326054,-1319040
1906,1145817,25245036,-1380106.6
1907,1115358.1,25151244,-1294613.4
1908,1090556.1,25060546,-1245760
1909,1074245.9,24970960,-1099200
1910,1069262.8,24885898,228389.33
1911,1071542,24799974,1380106.6
1912,1075054.4,24714540,2369386.5
1913,1079688.2,24630556,3521104
1914,1085331.5,24542302,4316192
1915,1091872.9,24410456,5075861
1916,1099200.1,24323664,5530197
1917,1107201.9,24238986,6338720
1918,1115766.1,24156624,6950608
1919,1124781,24125784,7735925.5
1920,1134134.8,24042888,5410507
1921,1145524.4,22280254,4085360
1922,1160315.1,21442130,2088479.9
1923,1177898.9,20699494,561813.4
1924,1197667.5,20319976,6015066.5
1925,1219012.9,19520326,4288101
1926,1241326.5,18879554,5386080
1927,1264000.1,18044480,2639301.2
1928,1286425.9,17275392,1319040
1929,1307995.2,16727683,4185509.5
1930,1328100.1,15952226,4129327.8
1931,1350669.1,15920815,5444704
1932,1378919.9,15679596,3055776
1933,1411177.6,15801006,6848016
1934,1445767.2,15767639,7430592
1935,1481013.9,15720364,8226901.5
1936,1515242.9,15574225,9473883
1937,1546779.1,15397833,10293397
1938,1573947.5,15187796,10625154
1939,1595073.4,15097915,13202795
1940,1608482,14931025,13439674
1941,1695208.9,14631318,10731888
1942,1915656.4,14395807,9385143
1943,2237198.5,14255994,10029800
1944,2627210.5,14063684,9971295
1945,3053067,13984898,10447734
1946,3482141.5,13950361,11981283
1947,3881809.5,13873222,12584652
1948,4219445,13720651,13023915
1949,4462423,13588740,13755346
1950,4578118,13474180,15344271
1951,4625364,13518502,16356815
1952,4683832,13418782,16117286
1953,4752156.5,13302518,15544450
1954,4828966,13062479,14111320
1955,4912894.5,13060600,16844368
1956,5002573,12823632,15539805
1957,5096633.5,12618329,14200775
1958,5193707,12298738,12913490
1959,5292425,12487277,17563912
1960,5391420.5,12013559,14747042
1961,5902685.5,12805977,16138734
1962,5980544.5,12807193,16807372
1963,6083507.5,13108452,15951037
1964,6164295,13447593,15889289
1965,6368801.5,13981260,14279244
1966,6713412,14956906,15815444
1967,6860046,15381365,17005502
1968,6962516,15547990,18204610
1969,7071065,15768288,18286768
1970,7015707,15818023,18660938
1971,7251993.5,16179798,21718954
1972,7467971.5,16024478,20082284
1973,7767252,16832630,20623530
1974,8112877,17834300,21192582
1975,8138917,17706500,19458492
1976,8100774,17195670,19007976
1977,8554309,17393944,19794800
1978,8768299,17430504,19195054
1979,8684246,17696122,22554046
1980,8805191,17742520,20934320
1981,8590237,17219448,20321242
1982,8584976,17298422,19129840
1983,8770288,17569600,19389960
1984,8819299,17733110,19577130
1985,8645295,17953726,20069112
1986,8924544,17856450,21539848
1987,8783530,17574816,23655564
1988,8799972,17642566,23190732
1989,9024282,17912802,23319340
1990,9274165,18438856,20083780
1991,9051555,18763548,21167854
1992,9119025,18855818,20830090
1993,9421889,19119564,20941216
1994,9618619,19267496,22270928
1995,9609587,19425666,23908346
1996,9494059,19755438,26868098
1997,9589506,19372776,28472506
1998,10007300,19100046,30156652
1999,9981411,19957708,33524450
2000,9860790,21377550,37566932
2001,9742196,21612486,40035344
2002,9981658,21550362,37837588
2003,9387301,21336836,37537816
2004,9130270,21690316,38154836
2005,8900344,20362182,39350784
2006,8900060,20501724,38224820
2007,8678986,19644084,37246360
2008,8593122,19194150,36749868
2009,8761160,18843978,39296964
2010,8306054.5,18421052,35491536
2011,8182551,18358552,31021504
2012,8632580,18805706,30056438
2013,8574335,19123496,27914124
2014,8520191,19320528,26447254
2015,8634835,19671356,26761188
2016,8667450,20758488,28327196
2017,8985708,21132264,26669286
2018,8795296,19701496,25956314
2019,8544866,19583020,23781076
2020,8558601,19807356,24759656
2021,8679210,19999288,29418462
