Irish year,Irish temp
1900,9.3
1901,9.1
1902,9.2
1903,9.1
1904,9.1
1905,9.3
1906,9.3
1907,9
1908,9.7
1909,8.9
1910,9.2
1911,9.6
1912,9.2
1913,9.4
1914,9.6
1915,9
1916,9.3
1917,8.8
1918,9.5
1919,8.7
1920,9.5
1921,10.5
1922,9
1923,9.2
1924,9.4
1925,9.1
1926,9.8
1927,9.4
1928,9.6
1929,9.4
1930,9.2
1931,9.5
1932,9.7
1933,10
1934,10
1935,9.6
1936,9.6
1937,9.5
1938,10
1939,9.8
1940,9.7
1941,9.4
1942,9.7
1943,10.2
1944,10
1945,10.7
1946,9.7
1947,9.6
1948,10.1
1949,10.6
1950,9.5
1951,9.3
1952,9.4
1953,10.1
1954,9.5
1955,9.7
1956,9.5
1957,10.1
1958,9.7
1959,10.4
1960,9.7
1961,9.9
1962,9.1
1963,8.9
1964,9.8
1965,9.2
1966,9.7
1967,9.5
1968,9.5
1969,9.3
1970,9.6
1971,10.1
1972,9.1
1973,9.8
1974,9.4
1975,10
1976,9.8
1977,9.5
1978,9.6
1979,8.8
1980,9.5
1981,9.6
1982,9.7
1983,10.1
1984,9.7
1985,9.2
1986,8.8
1987,9.4
1988,9.8
1989,10.2
1990,10.3
1991,9.8
1992,9.8
1993,9.6
1994,9.8
1995,10.4
1996,9.5
1997,10.6
1998,10.4
1999,10.4
2000,10
2001,9.9
2002,10.4
2003,10.5
2004,10.4
2005,10.6
2006,10.7
2007,10.8
2008,10.1
2009,10.1
2010,9.1
2011,10.3
2012,10
2013,10
2014,10.5
2015,9.9
2016,10.3
2017,10.5
2018,10.3
2019,10.5
2020,10.4
2021,10.5
2022,10.9
