year,mean,Global average temperature anomaly ,Annual CO2 emissions,Irish temp
1960.0,316.91,-0.115487024,14747042.0,9.7
1961.0,317.64,-0.019997388,16138734.0,9.9
1962.0,318.45,-0.06405444,16807372.0,9.1
1963.0,318.99,-0.03680589,15951037.0,8.9
1964.0,319.62,-0.30586675,15889289.0,9.8
1965.0,320.04,-0.2043879,14279244.0,9.2
1966.0,321.37,-0.14888458,15815444.0,9.7
1967.0,322.18,-0.11751631,17005502.0,9.5
1968.0,323.05,-0.1686323,18204610.0,9.5
1969.0,324.62,-0.031366713,18286768.0,9.3
1970.0,325.68,-0.08510657,18660938.0,9.6
1971.0,326.32,-0.20593274,21718954.0,10.1
1972.0,327.46,-0.0938271,20082284.0,9.1
1973.0,329.68,0.04993336,20623530.0,9.8
1974.0,330.19,-0.17253734,21192582.0,9.4
1975.0,331.13,-0.11075424,19458492.0,10.0
1976.0,332.03,-0.21586166,19007976.0,9.8
1977.0,333.84,0.10308852,19794800.0,9.5
1978.0,335.41,0.005255772,19195054.0,9.6
1979.0,336.84,0.09085813,22554046.0,8.8
1980.0,338.76,0.19607207,20934320.0,9.5
1981.0,340.12,0.25001204,20321242.0,9.6
1982.0,341.48,0.034263328,19129840.0,9.7
1983.0,343.15,0.22383861,19389960.0,10.1
1984.0,344.87,0.04800471,19577130.0,9.7
1985.0,346.35,0.04972978,20069112.0,9.2
1986.0,347.61,0.09568697,21539848.0,8.8
1987.0,349.31,0.2430264,23655564.0,9.4
1988.0,351.69,0.28215173,23190732.0,9.8
1989.0,353.2,0.17925027,23319340.0,10.2
1990.0,354.45,0.36056247,20083780.0,10.3
1991.0,355.7,0.33889654,21167854.0,9.8
1992.0,356.54,0.124896795,20830090.0,9.8
1993.0,357.21,0.16565846,20941216.0,9.6
1994.0,358.96,0.23354977,22270928.0,9.8
1995.0,360.97,0.37686616,23908346.0,10.4
1996.0,362.74,0.2766894,26868098.0,9.5
1997.0,363.88,0.4223085,28472506.0,10.6
1998.0,366.84,0.57731646,30156652.0,10.4
1999.0,368.54,0.32448497,33524450.0,10.4
2000.0,369.71,0.3310848,37566932.0,10.0
2001.0,371.32,0.48928034,40035344.0,9.9
2002.0,373.45,0.5434665,37837588.0,10.4
2003.0,375.98,0.5441702,37537816.0,10.5
2004.0,377.7,0.46737072,38154836.0,10.4
2005.0,379.98,0.60686255,39350784.0,10.6
2006.0,382.09,0.5725527,38224820.0,10.7
2007.0,384.02,0.5917013,37246360.0,10.8
2008.0,385.83,0.46564984,36749868.0,10.1
2009.0,387.64,0.5967817,39296964.0,10.1
2010.0,390.1,0.68037146,35491536.0,9.1
2011.0,391.85,0.53769773,31021504.0,10.3
2012.0,394.06,0.5776071,30056438.0,10.0
2013.0,396.74,0.6235754,27914124.0,10.0
2014.0,398.81,0.67287165,26447254.0,10.5
2015.0,401.01,0.82511437,26761188.0,9.9
2016.0,404.41,0.93292713,28327196.0,10.3
2017.0,406.76,0.84517425,26669286.0,10.5
2018.0,408.72,0.762654,25956314.0,10.3
2019.0,411.65,0.8910726,23781076.0,10.5
2020.0,414.21,0.9227938,24759656.0,10.4
2021.0,416.41,0.7618559,29418462.0,10.5
2022.0,418.53,0.80128413,,10.9
2023.0,421.08,0.9965588,,
